Size,Type,BubbleSortTime,MergeSortTime,QuickSortTime,Status
1000,random,0.55874,0.5875,0.02802,Success
1000,sorted,0.34462,0.605,0.4084,Success
1000,partially_sorted,0.42432,0.57892,0.03408,Success
1000,reverse_sorted,0.6586,0.56136,0.33388,Success
1010,random,0.5797,0.63354,0.02928,Success
1010,sorted,0.26202,0.58324,0.33792,Success
1010,partially_sorted,0.41532,0.57666,0.02716,Success
1010,reverse_sorted,0.63946,0.5913,0.32794,Success
1020,random,0.55232,0.6168,0.03346,Success
1020,sorted,0.27194,0.5921,0.35044,Success
1020,partially_sorted,0.42802,0.5858,0.03036,Success
1020,reverse_sorted,0.6735,0.60672,0.3355,Success
1030,random,0.55496,0.605,0.02958,Success
1030,sorted,0.2934,0.5872,0.37276,Success
1030,partially_sorted,0.42052,0.58064,0.03254,Success
1030,reverse_sorted,0.68086,0.58662,0.34638,Success
1040,random,0.5684,0.61402,0.03086,Success
1040,sorted,0.2795,0.6016,0.3532,Success
1040,partially_sorted,0.44948,0.58782,0.03018,Success
1040,reverse_sorted,0.68496,0.59614,0.35218,Success
1050,random,0.5749,0.6287,0.02792,Success
1050,sorted,0.31922,0.63866,0.36642,Success
1050,partially_sorted,0.5959,0.66826,0.03832,Success
1050,reverse_sorted,0.76094,0.6721,0.4108,Success
1060,random,0.643,0.65944,0.03952,Success
1060,sorted,0.30602,0.60312,0.36384,Success
1060,partially_sorted,0.56078,0.64832,0.02894,Success
1060,reverse_sorted,0.71532,0.60022,0.36288,Success
1070,random,0.59222,0.65424,0.02866,Success
1070,sorted,0.29156,0.60018,0.3665,Success
1070,partially_sorted,0.44958,0.63392,0.0261,Success
1070,reverse_sorted,0.72562,0.60058,0.3573,Success
1080,random,0.60342,0.65196,0.0293,Success
1080,sorted,0.29742,0.67646,0.37382,Success
1080,partially_sorted,0.48818,0.6216,0.03218,Success
1080,reverse_sorted,0.73024,0.59704,0.37762,Success
1090,random,0.6661,0.6535,0.0293,Success
1090,sorted,0.30322,0.61396,0.44024,Success
1090,partially_sorted,0.51244,0.62806,0.03552,Success
1090,reverse_sorted,0.76002,0.60866,0.39688,Success
1100,random,0.62784,0.65704,0.02548,Success
1100,sorted,0.30956,0.64496,0.3864,Success
1100,partially_sorted,0.61454,0.66894,0.02292,Success
1100,reverse_sorted,0.76026,0.65376,0.38198,Success
1110,random,0.69326,0.69828,0.03284,Success
1110,sorted,0.33238,0.65086,0.39984,Success
1110,partially_sorted,0.51532,0.64286,0.02262,Success
1110,reverse_sorted,0.8157,0.637,0.4063,Success
1120,random,0.73832,0.6851,0.03298,Success
1120,sorted,0.34784,0.64336,0.40784,Success
1120,partially_sorted,0.64432,0.71518,0.03398,Success
1120,reverse_sorted,0.81162,0.64698,0.40448,Success
1130,random,0.71756,0.72984,0.03342,Success
1130,sorted,0.33662,0.63098,0.41988,Success
1130,partially_sorted,0.53752,0.6772,0.03024,Success
1130,reverse_sorted,0.81508,0.63602,0.41172,Success
1140,random,0.66844,0.66874,0.031,Success
1140,sorted,0.3509,0.689,0.41566,Success
1140,partially_sorted,0.51704,0.63518,0.05018,Success
1140,reverse_sorted,0.82076,0.64606,0.41316,Success
1150,random,0.68358,0.685,0.0352,Success
1150,sorted,0.337,0.66398,0.4286,Success
1150,partially_sorted,0.5142,0.64942,0.02634,Success
1150,reverse_sorted,0.84346,0.68048,0.41754,Success
1160,random,0.69454,0.68008,0.03184,Success
1160,sorted,0.34514,0.66536,0.48264,Success
1160,partially_sorted,0.55858,0.6571,0.03952,Success
1160,reverse_sorted,0.86976,0.64224,0.42906,Success
1170,random,0.703,0.70128,0.03432,Success
1170,sorted,0.34864,0.69154,0.439,Success
1170,partially_sorted,0.55726,0.67304,0.04214,Success
1170,reverse_sorted,0.8729,0.6535,0.43038,Success
1180,random,0.71494,0.696,0.03404,Success
1180,sorted,0.35796,0.67046,0.45876,Success
1180,partially_sorted,0.59222,0.665,0.04318,Success
1180,reverse_sorted,0.8802,0.68272,0.47966,Success
1190,random,0.72734,0.7051,0.0307,Success
1190,sorted,0.36034,0.679,0.45908,Success
1190,partially_sorted,0.55886,0.67862,0.02314,Success
1190,reverse_sorted,0.89926,0.67238,0.43978,Success
1200,random,0.85326,0.80026,0.03582,Success
1200,sorted,0.3663,0.70196,0.46202,Success
1200,partially_sorted,0.57716,0.6968,0.0221,Success
1200,reverse_sorted,0.91512,0.6653,0.46034,Success
1210,random,0.7422,0.71276,0.03114,Success
1210,sorted,0.37244,0.68754,0.46826,Success
1210,partially_sorted,0.57944,0.6871,0.03376,Success
1210,reverse_sorted,0.93632,0.7094,0.4639,Success
1220,random,0.76166,0.70572,0.0325,Success
1220,sorted,0.37868,0.6847,0.47716,Success
1220,partially_sorted,0.61634,0.70534,0.0371,Success
1220,reverse_sorted,0.95298,0.74804,0.4695,Success
1230,random,0.77446,0.74134,0.02894,Success
1230,sorted,0.3918,0.69512,0.48334,Success
1230,partially_sorted,0.61308,0.70302,0.04562,Success
1230,reverse_sorted,0.9568,0.695,0.46598,Success
1240,random,0.80752,0.72856,0.03312,Success
1240,sorted,0.3972,0.6934,0.49574,Success
1240,partially_sorted,0.65594,0.70626,0.03314,Success
1240,reverse_sorted,0.97936,0.78216,0.47218,Success
1250,random,0.7959,0.76952,0.03458,Success
1250,sorted,0.39758,0.68764,0.4991,Success
1250,partially_sorted,0.68094,0.70694,0.02998,Success
1250,reverse_sorted,0.99648,0.70704,0.48688,Success
1260,random,0.81582,0.75944,0.03172,Success
1260,sorted,0.41008,0.72006,0.50946,Success
1260,partially_sorted,0.65592,0.713,0.03732,Success
1260,reverse_sorted,1.008,0.6895,0.49112,Success
1270,random,0.83544,0.74656,0.0336,Success
1270,sorted,0.4273,0.71166,0.51784,Success
1270,partially_sorted,0.63738,0.72268,0.0243,Success
1270,reverse_sorted,1.02388,0.69336,0.49988,Success
1280,random,0.85108,0.76492,0.03634,Success
1280,sorted,0.42164,0.72678,0.52566,Success
1280,partially_sorted,0.68298,0.7271,0.04212,Success
1280,reverse_sorted,1.0473,0.6971,0.51286,Success
1290,random,0.8693,0.7849,0.03526,Success
1290,sorted,0.42382,0.74756,0.56356,Success
1290,partially_sorted,0.66468,0.71656,0.0404,Success
1290,reverse_sorted,1.0665,0.699,0.52222,Success
1300,random,0.9045,0.76422,0.04244,Success
1300,sorted,0.4307,0.71542,0.6056,Success
1300,partially_sorted,0.67242,0.72718,0.03348,Success
1300,reverse_sorted,1.09706,0.70656,0.53074,Success
1310,random,0.85606,0.75424,0.03576,Success
1310,sorted,0.43474,0.76108,0.66052,Success
1310,partially_sorted,0.6808,0.74562,0.0327,Success
1310,reverse_sorted,1.06956,0.73402,0.54486,Success
1320,random,0.89306,0.76562,0.03956,Success
1320,sorted,0.45684,0.74578,0.5537,Success
1320,partially_sorted,0.71486,0.74016,0.03332,Success
1320,reverse_sorted,1.09894,0.71004,0.56958,Success
1330,random,0.90844,0.83898,0.04084,Success
1330,sorted,0.45756,0.77014,0.62246,Success
1330,partially_sorted,0.6989,0.74976,0.04324,Success
1330,reverse_sorted,1.19288,0.76838,0.631,Success
1340,random,1.06718,0.8705,0.04622,Success
1340,sorted,0.57456,0.82656,0.70096,Success
1340,partially_sorted,0.80762,0.86236,0.0392,Success
1340,reverse_sorted,1.16568,0.77216,0.55758,Success
1350,random,0.96012,0.86332,0.03842,Success
1350,sorted,0.5643,0.79312,0.66998,Success
1350,partially_sorted,0.77954,0.75836,0.04418,Success
1350,reverse_sorted,1.1808,0.73576,0.57188,Success
1360,random,0.93188,0.80588,0.03764,Success
1360,sorted,0.47078,0.75174,0.58872,Success
1360,partially_sorted,0.76124,0.77578,0.05144,Success
1360,reverse_sorted,1.17942,0.75498,0.58616,Success
1370,random,0.97078,0.82734,0.03886,Success
1370,sorted,0.47398,0.77918,0.65322,Success
1370,partially_sorted,0.69376,0.8359,0.0542,Success
1370,reverse_sorted,1.20548,0.74528,0.56832,Success
1380,random,0.96388,0.8066,0.03904,Success
1380,sorted,0.5011,0.80124,0.59104,Success
1380,partially_sorted,0.76948,0.77158,0.02708,Success
1380,reverse_sorted,1.21286,0.75852,0.58422,Success
1390,random,0.97472,0.82366,0.0331,Success
1390,sorted,0.5974,0.81246,0.698,Success
1390,partially_sorted,0.8814,0.9232,0.06614,Success
1390,reverse_sorted,1.14296,0.7323,0.53396,Success
1400,random,0.93738,0.80628,0.0347,Success
1400,sorted,0.48978,0.8077,0.63298,Success
1400,partially_sorted,0.78342,0.77276,0.03632,Success
1400,reverse_sorted,1.2036,0.74502,0.55574,Success
1410,random,0.98398,0.81888,0.0367,Success
1410,sorted,0.5092,0.7956,0.6339,Success
1410,partially_sorted,0.81528,0.79122,0.04102,Success
1410,reverse_sorted,1.27408,0.76462,0.65264,Success
1420,random,1.04932,0.86248,0.03984,Success
1420,sorted,0.5167,0.81348,0.64124,Success
1420,partially_sorted,0.81802,0.78918,0.04156,Success
1420,reverse_sorted,1.31558,0.77178,0.6092,Success
1430,random,0.9987,0.80732,0.03586,Success
1430,sorted,0.5117,0.8953,0.6749,Success
1430,partially_sorted,0.93064,0.79976,0.03976,Success
1430,reverse_sorted,1.32346,0.7546,0.56778,Success
1440,random,1.03432,0.86364,0.03796,Success
1440,sorted,0.56594,0.80024,0.61784,Success
1440,partially_sorted,0.78924,0.8045,0.03596,Success
1440,reverse_sorted,1.24066,0.76616,0.5682,Success
1450,random,1.01458,0.837,0.03516,Success
1450,sorted,0.6538,0.7949,0.70702,Success
